type,subType,author,addressee,title,"editorList
",titleVolume,journal,partANDvol,place,"publisher
",date,pages,link
Fonte,Epistolare,,,"Lettere di diversi 
eccelentiss. huomini, 
raccolte da diversi 
libri: tra le quali se 
leggono molte, non 
piu stampate con gli
argomenti per 
ciascuna delle 
materie, di che elle 
trattano, e nel fine 
annotationi e tavole 
delle cose piu 
notabili, a utile degli 
studiosi
",,,,,Venezia,"Gabriel Giolito de 
Ferrari",1554,508-529,"https://books.google.fr/books?id=uAvnpersIJMC&pg=PA67&dq=•+Lettere+di+diversi+eccellentiss.+huomini,+raccolte+da+diversi+libri:+tra+le+quali+se+ne+leggono+molte,+non+piu+stampate+con+gli+argomenti+per+ciascuna+delle+materie,+di+che+elle+trattano,+e+nel+fine+annotationi&hl=en&sa=X&ved=0ahUKEwj6jfT7h6fXAhWGMBoKHbZHBM4Q6wEIKTAA#v=onepage&q&f=false"
Fonte,Letteraria,,,"Rime e prose di m. 
Girolamo Zoppio",,,,,Bologna,Alessandro Benacci,1567,,
Fonte,Storica, ,,"Vita di Lodovico 
Castelvetro da Modena 
scritta da…",Girolamo Tiraboschi,"Biblioteca modenese 
o Notizie della vita 
e delle opere degli 
scrittori natii degli 
stati del serenissimo duca di Modena raccolte e ordinate dal cavaliere ab. Girolamo Tiraboschi",,t. VI,Modena,"Società Tipografica 
Modenese",1781-1786,62-82,"https://books.google.fr/books?id=LEwOAAAAQAAJ&pg=PA60&lpg=PA60&dq=%E2%80%A2+Vita+di+Lodovico+Castelvetro+da+Modena+scritta+da%E2%80%A6,+in+Girolamo+Tiraboschi&source=bl&ots=3QjN-_O2Ij&sig=cEmYl368EZdtmZBwhgCTC0Mog3I&hl=en&sa=X&ved=0ahUKEwib8cjpiafXAhWH1hoKHVefDsoQ6AEIKDAA#v=onepage&q=%E2%80%A2%20Vita%20di%20Lodovico%20Castelvetro%20da%20Modena%20scritta%20da%E2%80%A6%2C%20in%20Girolamo%20Tiraboschi&f=false"
Fonte,Poetica,Giovanni Maria Barbieri,,"Alcune lettere 
d'illustri italiani 
ed il Treperuno di 
Gianmaria Barbieri 
modenese in risposta a tre sonetti di Annibal Caro contro il Castelvetro",Mario Valdrighi,,,,Modena,Vincenzi,1827,57-110,
Fonte,Letteraria,Annibale Caro,,"Apologia degli 
Accademici di 
Banchi di Roma contra messer Lodovico Castelvetro",Stefano Jacomuzzi,Opere,,,Torino,Utet,1974,85-328,https://archive.org/details/apologiadelcomme00carouoft
Fonte,Epistolare,Annibale Caro,,Lettere familiari,Aulo Greco,,,,Firenze,Le Monnier,1957-1961 ,ad indicem,
Fonte,Letteraria,Ludovico Castelvetro,,"Parere del 
medesimo sopra 
l'ajuto che 
domandano i Poeti 
alle Muse",,"Opere varie critiche 
di Lodovico 
Castelvetro 
gentiluomo modenese non più stampate, colla vita dell'autore scritta dal sig. proposto Lodovico Antonio Muratori bibliotecario del ser.mo duca di Modena  ",,,Berna,Pietro Foppens,1727,79-99,https://books.google.fr/books?id=UOR7JQdGTfUC&pg=PA79&dq=parere+ludovico+castelvetro&hl=en&sa=X&ved=0ahUKEwiR_I22h6fXAhXEvBoKHXMiCNoQ6wEIKzAA#v=onepage&q=parere%20ludovico%20castelvetro&f=false
Fonte,Letteraria,Ludovico Castelvetro,,"Ragione d'alcune 
cose segnate nella 
canzone d'Annibal 
Caro Venite a l'ombra de gran gigli d'oro",,,,,Modena,Gadaldini,1559,,https://archive.org/details/bub_gb_PUh1ddixfIYC
Fonte,Letteraria,Ludovico Castelvetro,,"Correttione d'alcune
cose del Dialogo 
delle lingue di 
Benedetto Varchi",Valentina Grohovaz,,,,Padova,Antenore,1999,,https://archive.org/details/bub_gb_4zxvfHUuo9QC
Fonte,Letteraria,Ludovico Castelvetro,,"La poetica 
d'Aristotele 
vulgarizzata et 
sposta",Werther Romani,,,,Bari,Laterza,1978-1979,,
