type,subType,author,addressee,title,"editorList
",titleVolume,journal,partANDvol,place,"publisher
",date,pages,link
Fonte,Letteraria,Agostino Nifo,"Dedicatari: Ludovico e Elvira di Cordova, principi di Sessa",Libellus de his quae ab optimis principibus agenda sunt,,,,,Firenze,Eredi di Filippo Giunta,1521,,https://books.google.it/books?id=6W6xvLxgiFUC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Fonte,Letteraria,Agostino Nifo,Dedicatario: Carlo V imperatore                                                                             ,De regnandi peritia,,,,,Napoli,Caterina de Silvestro (vedova di Sigismondo Mayr),1523,,https://books.google.it/books?id=In1lNHTOLpoC&pg=PA1&hl=it&source=gbs_toc_r&cad=2#v=onepage&q&f=false
Fonte,Letteraria,Agostino Nifo,,Libellus de rege et tyranno,,,,,Napoli,Evangelista Presenzani,1526,,
Fonte,Letteraria,Niccolò Machiavelli,Dedicatario: Lorenzo de' Medici,Il Principe (De principatibus),,,,,Roma,Antonio Blado,1/1532,,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Abncf.firenze.sbn.it%3A21%3AFI0098%3ABibbiaNel500%3ABVEE058600&mode=all&teca=Bncf
Fonte,Letteraria,Niccolò Machiavelli,Dedicatario: Lorenzo de' Medici,Il Principe (De principatibus),,,,,Firenze,Bernardo Giunta,5/1532,,http://www.internetculturale.it/jmms/iccuviewer/iccu.jsp?id=oai%3Abncf.firenze.sbn.it%3A21%3AFI0098%3ACadi_I%3ACFIE022540&mode=all&teca=Bncf
Fonte,Letteraria,Agostino Nifo,,Opuscula moralia et politica,Gabriel Naudé,,,,Parigi,Rolet Le Duc,1645,,https://books.google.it/books?id=FjpDkj1v1EkC&printsec=frontcover&dq=augustini+niphi+sua+tempestate&hl=it&sa=X&ved=0ahUKEwiikZPajpTaAhUOzqQKHYXoA6cQ6AEIJzAA#v=onepage&q=augustini%20niphi%20sua%20tempestate&f=false
Fonte,Letteraria,,,Une réécriture du Prince de Machiavel: le De regnandi peritia de Agostino Nifo,"Simone Pernet-Beau, Paul Larivaille",,,,Nanterre,"Université de Paris-Nanterre, Centre de Recherches de Langue et Littérature Italiennes",1987,,
Fonte,Letteraria,Niccolò Machiavelli,,Il Principe   ,Giorgio Inglese,,,,Torino,Einaudi,1995,,
Fonte,Letteraria,"Niccolò Machiavelli, Agostino Nifo",,"Il Principe / Le Prince, suivi de De Regnandi peritia / L'Art de régner","Mario Martelli, Simona Mercuri, Jean-Jacques Marchand, Paul Larivaille",,,,Parigi,Les Belles Lettres,2008,,
Bibliografia,Capitolo di libro,Gabriele Pedullà,,Aristóteles contra Maquiavelo. El De regnandi peritia de Agostino Nifo y la primera recepción de Il Principe en el Reino de Nápoles,Marcelo Barbuto,Problematizing Il Principe,,,Barcellona,Universitat de Barcelona edicions,2017,109-150,http://www.academia.edu/33892927/Aristóteles_contra_Maquiavelo._El_De_regnandi_peritia_de_Agostino_Nifo_y_la_primera_recepción_de_Il_principe_en_el_Reino_de_Nápoles
Bibliografia,Voce enciclopedica,,,Agostino Nifo,,Encyclopaedia Britannica,,,Chicago,Encyclopaedia Britannica,2016,,https://www.britannica.com/biography/Agostino-Nifo
Bibliografia,Capitolo di libro,Francesco Bruni,,Dal volgare del Principe al latino del De regnandi peritia: primi appunti di terminologia politica,"Romain Descendre, Jean-Louis Fournel","Langages, politique, histoire avec Jean-Claude Zancarini",,,Lione,ENS Èditions,2015,,http://books.openedition.org/enseditions/5306
Bibliografia,Capitolo di libro,Gabriele Pedullà,,Aristoteles contra Machiavelli: Agostino Nifos De regnandi peritia und die Erstrezeption des Principe im Königreich Neapel ,"Judith Froemmer, Angela Oster",Texturen der Macht. 500 Jahre Il Principe,,,Berlin,Kadmos,2015,155-194,http://www.academia.edu/33892926/Aristoteles_contra_Machiavelli_TED
Bibliografia,Voce enciclopedica,Daniele Santarelli,,"Machiavelli, Niccolò",,"Dizionario di eretici, dissidenti e inquisitori nel mondo mediterraneo",,,Firenze,Edizioni CLORI,2013,,http://www.ereticopedia.org/niccolo-machiavelli
Bibliografia,Voce enciclopedica,Margherita Palumbo,,"Nifo, Agostino",,Dizionario Biografico degli Italiani,,LXXVIII,Roma,Treccani,2013,,http://www.treccani.it/enciclopedia/agostino-nifo_%28Dizionario-Biografico%29/
Bibliografia,Capitolo di libro,Gennaro Tallini,,Cronologia degli scritti e motivazioni didattiche nelle opere di Agostino Nifo durante il periodo pisano (1518-1523),"Stefano U. Baldassarri, Fabrizio Ricciardelli, Enrico Spagnesi","Umanesimo e Università in Toscana (1300-1600). Atti del Convegno Internazionale di Studi (Fiesole-Firenze, 25/5-26/5 2011)",,,Firenze,Le Lettere,2012,327-347,https://www.academia.edu/33451115/Cronologia_degli_scritti_e_motivazioni_didattiche_nelle_opere_di_Agostino_Nifo_durante_il_periodopisano_1518-1523_
Bibliografia,Monografia,Niccolò Capponi,,Il principe inesistente. La vita e i tempi di Machiavelli,,,,,Milano,Il Saggiatore,2012,"in particolare 217-218, 237 ",https://books.google.it/books?id=2OLnP2pMc0sC&pg=PA217&dq=nifo+machiavelli&hl=it&sa=X&ved=0ahUKEwiJuPCj6pbaAhUICewKHTdwB90Q6AEIODAD#v=onepage&q=nifo%20machiavelli&f=false
Bibliografia,Articolo in rivista,Gennaro Tallini,,"Agostino Nifo e la sua influenza sulle idee religiose di Vittoria Colonna, Girolamo Seripando, Galeazzo Florimonte e dei gruppi riformatori napoletani (1531-1536/7)",,,Nuova Rivista Storica Italiana,"XCV, fasc. I",,,2011,265-294,http://www.academia.edu/7060117/Agostino_Nifo_e_Vittoria_Colonna
Bibliografia,Voce enciclopedica,Gabriele Pedullà,,Disputare con il Principe,"Sergio Luzzatto, Gabriele Pedullà",Atlante della letteratura italiana,,Vol. I. Dalle origini al Rinascimento (a cura di Amedeo de Vincentiis),Torino,Einaudi,2010,796-803,https://www.academia.edu/4082200/Agostino_Nifo_e_Machiavelli_Atlante_I
Bibliografia,Voce enciclopedica,,,"Nifo, Agostino",,Dizionario di filosofia,,,Roma,Treccani,2009,,http://www.treccani.it/enciclopedia/agostino-nifo_%28Dizionario-di-filosofia%29/
Bibliografia,Articolo in rivista,Francesco Bausi,,Schede per l'edizione del De regnandi peritia di Agostino Nifo,,,Interpres,XXV,,,2006,283-300,
Bibliografia,Voce enciclopedica,Giorgio Inglese,,"Machiavelli, Niccolò",,Dizionario Biografico degli Italiani,,LXVII,Roma,Treccani,2006,,http://www.treccani.it/enciclopedia/niccolo-machiavelli_(Dizionario-Biografico)
Bibliografia,Articolo in rivista,Cornel Zwirlein,,"Politik als Experimentalwissenschaft, 1521-1526: Agostino Nifos politische Schriften als Synthese von Aristotelismus und machiavellischem Discorso",,,Philosophisches Jahrbuch,CXIII,,,2006,30-62,
Bibliografia,Capitolo di libro,Sydney Anglo,,Creative Plagiarism: Agostino Nifo's De regnandi peritia,,"Machiavelli - The First Century. Studies in Enthusiasm, Hostility, and Irrelevance",,,Oxford,Oxford University Press,2005,42-84,"https://books.google.it/books?id=-K6zI1iw90AC&pg=PA42&lpg=PA42&dq=tuozzi,+agostino+nifo+e+le+sue+opere&source=bl&ots=G-n_yRrc4V&sig=MR8oQYLkNTUPj6zJZQHtNXqXR5A&hl=it&sa=X&ved=0ahUKEwj7wqOry5baAhViGsAKHXhODeIQ6AEINjAE#v=onepage&q=tuozzi%2C%20agostino%20nifo%20e%20le%20sue%20opere&f=false"
Bibliografia,Monografia,Ennio De Bellis,,Bibliografia di Agostino Nifo,,,,,Firenze,L.S. Olschki,2005,,
Bibliografia,Capitolo di libro,Dario Caruso,,Il De regnandi peritia di Agostino Nifo: plagio o censura?,Gianfranco Borrelli,"Machiavelli e la cultura politica del meridione d'Italia. Atti del Convegno (Napoli, 27/11-28/11 1997)",,,Napoli,Archivio della Ragion di Stato,2001,6-22,
