type,subType,author,addressee,title,"editorList
",titleVolume,journal,partANDvol,place,"publisher
",date,pages,link
Fonte,Letteraria,Luca Prassicio,Dedicatario: Andrea Matteo Acquaviva                      Risposta al De armorum literarumque comparatione comentariolus di Agostino Nifo                                                          ,Impugnatio contra Augustinum Niphum asserentem arma prestare licteris,,,,,Aversa,Antonio De Frizis,1520,,
Fonte,Letteraria,Agostino Nifo,"Dedicatario: Andrea Carafa, principe di Sanseverino",De armorum literarumque comparatione comentariolus,,,,,Napoli,Evangelista Presenzani,1526,,
Bibliografia,Voce enciclopedica,,,Agostino Nifo,,,,,,,2016,,https://www.britannica.com/biography/Agostino-Nifo
Bibliografia,Voce enciclopedica,Margherita Palumbo,,"Nifo, Agostino",,,,,,,2013,,http://www.treccani.it/enciclopedia/agostino-nifo_%28Dizionario-Biografico%29/
Bibliografia,Voce enciclopedica,,,"Nifo, Agostino",,,,,,,2009,,http://www.treccani.it/enciclopedia/agostino-nifo_%28Dizionario-di-filosofia%29/
Bibliografia,Capitolo di libro,Francesco Tateo,,Le armi e le lettere: per la storia di un tópos umanistico,"Alexander Dalzell, Charles Fantazzi, Richard J. Schoeck","Acta conventus Neo-Latini Torontonensis. Proceedings of the Seventh International Congress of Neo-Latin Studies (Toronto, 8/8-13/8 1988)",,,Binghamton-New York,Medieval & Renaissance texts & studies,1991,63-81,
Bibliografia,Capitolo di libro,Francesco Tateo,,Le armi e le lettere in una disputa fra Agostino Nifo e Luca Prassicio,Luisa Avellini,"Sapere e/è potere. Discipline, Dispute e Professioni nell'Università Medievale e Moderna. Il caso bolognese a confronto. Atti del 4° Convegno (Bologna, 13/4-15/4 1989)",,Vol. I (Forme e oggetti della disputa delle arti),Bologna,Istituto per la Storia di Bologna,1990,85-99,
Bibliografia,Articolo in rivista,Eric Haywood,,A curious Renaissance dispute on arms and letters: Agostino Nifo and Luca Prassicio,,,Italian Studies,,,,Anno 1986 - N. 41,62-81,http://www.academia.edu/14289518/A_Curious_Renaissance_Dispute_on_Arms_and_Letters_Agostino_Nifo_and_Luca_Prassicio
Bibliografia,Monografia,Francesco Tateo,,Chierici e feudatari del Mezzogiorno,,,,,Bari,Laterza,1984,in particolare 69-96,
Bibliografia,Capitolo di libro,Francesco Tateo,,Cultura feudale e tipografia nel Meridione. Umanesimo fra gli Abruzzi e Napoli,,"Cultura umanistica nel Meridione e la Stampa in Abruzzo. Atti del Convegno (L'Aquila, 12/11-14/11 1982)",,,L'Aquila,Deputazione di storia patria negli Abruzzi,1984,35-53,
Bibliografia,Monografia,Gioacchino Paparelli,,"Feritas, Humanitas, Divinitas: l'essenza umanistica del Rinascimento",,,,,Napoli,Guida,1973,in particolare 57-65,
Bibliografia,Articolo in rivista,Michele Giorgiantonio,,Un nostro filosofo dimenticato del '400 (Luca Prassicio e Agostino Nifo) - seguito,,,Sophia,III,,,Anno 1948 - N. 16,303-312,
Bibliografia,Articolo in rivista,Michele Giorgiantonio,,Un nostro filosofo dimenticato del '400 (Luca Prassicio e Agostino Nifo),,,Sophia,II,,,Anno 1948 - N. 16,212-214,
