Categoria,Tipologia,Autore,Destinatario,Titolo,Curatori volume,Titolo volume,Rivista,Parte e volume,Luogo,Editore,Data,Pagine,Link
Fonte diretta,Fonte letteraria,Giason Denores,Dedicatario: Galeazzo Riario,"Discorso intorno a que' principii, cause et accrescimenti che la comedia, la tragedia et il poema heroico ricevono dalla philosophia morale et civile et da' governatori di republiche",,,,,Padova,Paolo Meietti,1587,,https://books.google.it/books?id=xRU8AAAAcAAJ&printsec=frontcover&dq=giason+de+nores&hl=it&sa=X&ved=0ahUKEwiWwP6Yj-DTAhVHkywKHYvBCnE4FBDoAQg4MAQ#v=onepage&q=giason%20de%20nores&f=false 
Fonte diretta,Fonte letteraria,"L'Attizzato, Accademico ferrarese (pseudonimo di Battista Guarini)","Replica a Denores (Discorso, 1586)","Verato, ovvero Difesa di quanto ha scritto m. Giason Denores contra le tragicommedie et le pastorali",,,,,Ferrara,A. Caraffa,1588,,
Fonte diretta,Fonte letteraria,Giason Denores,"Risposta a Guarini (Verato,1586). Dedicatari: Giacomo Contarini e Francesco Vendramini",Apologia contra l'auttor del Verato,,,,,Padova,Paolo Meietti,1590,,https://archive.org/details/bub_gb_u4ul7S6EXO8C
Fonte diretta,Fonte letteraria,"L'Attizzato, Accademico ferrarese (pseud. di Battista Guarini)","Risposta a Denores (Apologia, 1590). Dedicatario: Vincenzo Gonzaga","Verato secondo, ovvero Replica dell'Attizzato accademico ferrarese in difesa del Pastor fido",,,,,Firenze,Filippo Giunti,1593,,https://archive.org/details/bub_gb_pwMDf4JDbtAC
Fonte diretta,Fonte letteraria,Angelo Ingegneri,Dedicatario: Cesare d'Este,Sulla poesia rappresentativa e del modo di rappresentare le favole sceniche,,,,,Ferrara,Vittorio Baldini,1598,,"https://books.google.it/books?id=xxU8AAAAcAAJ&printsec=frontcover&dq=Ingegneri,+Angelo,+Sulla+poesia+rappresentativa,+1595&hl=it&sa=X&ved=0ahUKEwj96-uXqN7TAhXMBZoKHSV5AS0Q6AEIIjAA#v=onepage&q&f=false "
Fonte diretta,Fonte letteraria,Gianpietro Malacreta ,Dedicatario: Ferrando Gonzaga,Considerazioni sopra il Pastor fido,,,,,Vicenza,Giorgio Greco,1600,,https://archive.org/details/bub_gb_YJwsePb_600C
Fonte diretta,Fonte letteraria,Paolo Beni,"Replica a Malacreta (Considerazioni, 1600)",Risposta alle Considerazioni o dubbi dell'ecc.mo sig. dottor di Malacreta,,,,,Padova,Francesco Bolzetta,1600,,https://archive.org/details/bub_gb_4RPpkLv_0xsC
Fonte diretta,Fonte letteraria,Faustino Summo,,Due discorsi contro le tragicommedie e il Pastor fido ,,,,,Padova,Francesco Bolzetta,1601,,https://books.google.at/books?id=DwJaV_N0Om0C&pg=PA109&dq=faustino+summo+pastor+fido&hl=it&sa=X&redir_esc=y#v=onepage&q=faustino%20summo%20pastor%20fido&f=false 
Fonte diretta,Fonte letteraria,Orlando Pescetti,Risposta a Summo  e Malacreta. Dedicatario: Vincenzo Gonzaga,"Difesa del Pastor fido, tragicommedia pastorale",,,,,Verona,Angelo Tamo,1601,,https://books.google.cz/books?id=9kpSZFInaBYC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Fonte diretta,Fonte letteraria,Giovanni Savio,"Replica a Summo, Malacreta e Ingegneri. Dedicatario: Ferdinando de' Medici",Apologia in difesa del Pastor fido,,,,,Venezia,Orazio Larducci,1601,,https://archive.org/details/bub_gb_9PvTdO0ZzrgC 
Fonte diretta,Fonte letteraria,Battista Guarini,,Compendio della poesia tragicomica,,,,,Venezia,Giovan Battista Ciotti ,1602,,https://archive.org/stream/ilpastorfidotrag00guar_0#page/n5/mode/2up
Bibliografia,Saggio,Vittorio Rossi,,Battista Guarini e il Pastor fido. Studio biografico-critico con documenti inediti,,,,,Torino,E.  Leoscher,1886,,
Bibliografia,Articolo,Matteo Cerini,,"L'ombra di un capolavoro. Il ""Pastor fido"" del Guarini",,,"Letterature moderne, VII (1957)",,,,1957,457-471,
Bibliografia,Intervento congressuale,Gianfranco Folena,,La mistione tragicomica e la metamorfosi dello stile nella poetica del Guarini,Ettore Caccia,La critica stilistica e il barocco letterario. Atti del II Congresso internazionale di studi italiani,,,Firenze,F. Le Monnier,1958,344-349,
Bibliografia,Saggio,Deana Battaglin,,"Il linguaggio tragicomico del Guarini e l'elaborazione del ""Pastor fido"", ",,,,,Padova,Liviana,1970,,
Bibliografia,Capitolo di monografia,Claudio Scarpati,,Poetica e retorica in Battista Guarini ,Claudio Scarpati,Studi sul Cinquecento italiano,,,Milano,Vita e pensiero,1982,201-238,
Bibliografia,Articolo,Laura Riccò,,Aristotele e la moscacieca: sul rapporto Ingegneri-Guarino,,,"Nuova rivista di letteratura italiana (Anno 2000, N.2)",,,,2000,290-346,
Bibliografia,Saggio,Elisabetta Selmi,,"""Classici e moderni"" nell'officina del ""Pastor fido""",,,,,Alessandria,Edizioni dell'Orso ,2001,,
Bibliografia,Articolo,Vincenzo Guercio,,"Mezzo secolo di commenti al ""Pastor fido"". Postille sui rapporti con la tradizione pastorale",,,"Quaderni di critica e filologia italiana (Anno 2004, N.1)",,,,2004,193-231,
