Categoria,Tipologia,Autore,Destinatario,Titolo,Curatori volume,Titolo volume,Rivista,Parte e volume,Luogo,Editore,Data,Pagine,Link
Fonte,Fonte letteraria,J. Campanile,,Opera nuova nomata Tempio de Amore,,,,,Alife,,1536,,
Fonte,Fonte letteraria,N. Franco,,Tempio d'Amore,,,,,Venezia ,,1536,,https://books.google.it/books?id=3ONmAAAAcAAJ&pg=PP29&dq=tempio+di+amore+nicol%C3%B2+franco&hl=it&sa=X&ved=0ahUKEwjf_Obwq_7SAhUB0hoKHX9UBl0Q6AEIJjAC#v=onepage&q=tempio%20d'amore%20&f=false
Fonte,Articolo in rivista,S. Bongi ,,Due libri d'amore sconosciuti,,,Archivio storico italiano ,"s. V, XV",,,1895,p. 245,
Fonte,Monografia,C. Simiani,,La vita e le opere di Nicolò Franco,,,,,Torino,,1894,pp. 175 ss. ,https://archive.org/stream/nicolfrancolavi00simigoog/nicolfrancolavi00simigoog_djvu.txt
Fonte,Monografia,M. Di Leo,,"Lodi di dame napoletane del secolo decimosesto dall'Amor prigioniero; con notizie ed estratti di altri poemetti sincroni di simile argomento a cura di G. Ceci e B. Croce,",,,,,Napoli,,1894,,
Fonte,Articolo in rivista,C. Simiani,,Un plagio di Niccolò Franco ,,,Rassegna critica della letteratura italiana ,V,,,1900,pp. 19 ss. ,
Fonte,Monografia,G. Laini,,Polemiche letterarie del Cinquecento,,,,,Mendrisio ,,1944,p. 219,
Fonte,Monografia ,P. F. Grendler,,"Critics of the italian world (1530-1560), Anton Francesco Doni, Nicolò Franco and Ortesi Lando",,,,,London,,1966,,
Fonte,Monografia,A. Altamura,,Il Tempio d'amore. Storia di un plagio,,,,,Napoli,,1980,,
Fonte,Capitolo in volume,M. Zeoli,,I Dialoghi piacevoli di Nicolò Franco e un plagio da Pietro Montefalchio,P. Cherchi,Sondaggi sulla riscrittura del Cinquecento,,,Ravenna,,1988,pp. 27-28,
Fonte,Capitolo in volume,A. Capata,,Nicolò Franco e il plagio del Tempio d'Amore ,R. Gigliucci ,Furto e plagio nella letteratura del classicismo,,,Roma,,1998,pp. 219-232,https://www.yumpu.com/it/document/view/16483601/nicolo-franco-e-il-plagio-del-tempio-damore-italianistica-e-
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,https://books.google.it/books?id=-K1dAAAAcAAJ&hl=it&pg=PA227#v=onepage&q&f=false
