Categoria,Tipologia,Autore,Destinatario,Titolo,Curatori volume,Titolo volume,Rivista,Parte e volume,Luogo,Editore,Data,Pagine,Link
Fonte,Letteraria,Pietro Pomponazzi,,Tractatus de immortalitate animae,,,,,Bologna,Giustiniano Leonardi,1516/11/06,,http://reader.digitale-sammlungen.de/de/fs1/object/display/bsb10149711_00001.html
Fonte,Letteraria,Pietro Pomponazzi,,Apologia,,,,,Bologna,Giustiniano Leonardi,1518/02/03,,http://reader.digitale-sammlungen.de/de/fs1/object/display/bsb11111978_00071.html?zoom=0.5&numScans=2
Fonte,Letteraria,Agostino Nifo,,De immortalitae anime libellus,,,,,Venezia,Ottaviano Scoto,1518/10/27,,https://books.google.it/books?id=VXhuN26GNecC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Fonte,Letteraria,Ambrogio Fiandino,,De animorum immortalitate liber contra assertorem mortalitatis ,,,,,Mantova,,1519/03/30,,https://books.google.it/books?id=6OtOAAAAcAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Fonte,Letteraria,Pietro Pomponazzi,,Defensorium,,,,,Bologna,Giustiniano Leonardi,1519/05/18,,https://books.google.it/books?id=PaOdCdFzV_QC&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false
Fonte,Letteraria,Pietro Pomponazzi,,Tutti i trattati peripatetici,Francesco Paolo Raimondi- José Manuel García Valverde,,,,Milano,Bompiani,2013,,
Fonte,Letteraria,Agostino Nifo,,L'immortalità dell'anima,Francesco Paolo Raimondi- José Manuel García Valverde,,,,Torino,Aragno,2009,,
Bibliografia,Articolo in rivista,Paola Zambelli,,"«Aristotelismo eclettico» o polemiche clandestine? Immortalità dell’anima e vicissitudini della storia universale in Pomponazzi, Nifo e Tiberio Russilliano",,,,,Alessandria,"Edizione dell’Orso,",2012,27-70,
Bibliografia,Articolo in rivista,José Manuel García Valverde,,Nifo contra Pomponazzi: el debate sobre la inmortalidad del alma en el ámbito de la moral,,,Fragmentos de filosofía,7 (2009),,,,23-30 ,
Bibliografia,Capitolo di libro,P.J.J.M. Bakker,,"Natural Philosophy, Metaphysics, or Something in between? Agostino Nifo, Pietro Pomponazzi, and Marcantonio Genua on the Nature and Place of the Science of the Soul",P.J.J.M. Bakker / J.M.M.H. Thijssen ,"Mind, Cognition and Representation. The tradition of Commentaries on Aristotle’s De anima",,,Ashgate, Aldershot ,2007,151-176,
Bibliografia,Capitolo di libro,José Manuel García Valverde,,Nifo versus Pomponazzi: la discusión exegética sobre los textos aristotélicos,M. Sgarbi,Pietro Pomponazzi. Tradizione e Dissenso. Atti del Congresso Internazionale di Studi su Pietro Pomponazzi (Mantova 23-24 ottobre 2008),,,Firenze,Olschki,2010,"181-214
",
Bibliografia,Articolo in rivista,Eugenio Garin,,Polemiche pomponazziane,,,Rivista critica di storia della filosofia,27 (1972),,,,223-228,
Bibliografia,Articolo in rivista,Laurence Boulègne,,A propos de la thèse d'Averroès. Pietro Pomponazzi versus Agostino Nifo .,,,Bochumer Studien zur Philosophie,48 (2009) ,,,,83-98,
Bibliografia,Articolo in rivista,Laurence Boulègne,,L’ontologie de l’âme noétique dans le débat sur l’immortalité de l’âme en Italie (1516-1518) Quomodo de anima intellectiva considerat naturalis,,,Lo Sguardo - rivista di filosofia,"18, 2015 (II)",,,,307-316,http://www.losguardo.net/public/archivio/num18/articoli/2015_18-Boulegue-Ontologie-ame-noetique.pdf
Bibliografia,Articolo in rivista,José Manuel García Valverde,,"La ""Apologia"" de Pietro Pomponazzi. Una guía de lectura",,,Convivium,25 (2012),,,,47-70,
Bibliografia,Voce enciclopedica,Vittoria Perrone Compagni,,Pietro Pomponazzi,,Il Contributo italiano alla storia del Pensiero – Filosofia,,,,,2012,,http://www.treccani.it/enciclopedia/pietro-pomponazzi_%28Il-Contributo-italiano-alla-storia-del-Pensiero:-Filosofia%29/
Bibliografia,Voce enciclopedica,Margherita Palumbo,,Agostino Nifo,,"Dizionario Biografico degli Italiani

",,vol. 78,,,2013,,http://www.treccani.it/enciclopedia/agostino-nifo_(Dizionario-Biografico)/
Bibliografia,Voce enciclopedica,Franco Bacchelli,,Ambrogio Fiandino,,"Dizionario Biografico degli Italiani

",,vol. 47,,,1997,,http://www.treccani.it/enciclopedia/ambrogio-fiandino_(Dizionario-Biografico)/
