type,subType,author,addressee,title,"editorList
",titleVolume,journal,partANDvol,place,"publisher
",date,pages,link
Fonte,Letteraria,Giovan Battista Giraldi Cinzio,Sperone Speroni,Giudizio d'una tragedia di Canace e Macareo con molte utili considerazioni circa l'arte della tragedia e d'altri poemi,,,,,Lucca,Vincenzo Busdrago,1550,,http://ww2.bibliotecaitaliana.it/xtf/view?docId=bibit000295/bibit000295.xml&chunk.id=d3706e122&toc.id=&brand=bibit
Fonte,Epistolare,Giovan Battista Giraldi Cinzio,Sperone Speroni. ,Epistola latina,,,,,Ferrara,,27/12/1558  ,,http://ww2.bibliotecaitaliana.it/xtf/view?docId=bibit001160/bibit001160.xml&chunk.id=d5902e175&toc.depth=1&toc.id=&brand=bibit
Fonte,Letteraria,Sperone Speroni,"Alfonso d'Este, Duca di Ferrara; Giraldi Cinzio","Canace tragedia del sig. Sperone Speroni alla quale sono aggiunte alcune altre sue compositioni, e una apologia, e alcune lettioni in difesa della tragedia",,,,,Venezia,Giovanni Alberti,1597,,https://archive.org/details/bub_gb_3RWFUNQc8dIC
Bibliografia,Articolo in rivista,Enrica Zanin,,Pourquoi la tragédie finit mal ? Analyse des dénouements dans quelques tragédies de la première modernité,,,Cahiers d'études italiennes,N. 19,,,2014,45-59,
Bibliografia,Articolo in rivista,Maria Maslanka-Soro,,Il tragico nella tragedia italiana del Cinquecento alla luce della tradizione classica,,,Rivista di letteratura italiana,N. 1 ,,,2013,27-46,
Bibliografia,Articolo in rivista,Giovanni Ricci,,Tanatologia ferrarese: un'atmosfera per le tragedie del Cinzio?,,,Critica letteraria,N. 2-3,,,2013,387-399,
Bibliografia,Atto di convegno,Rosanna Morace,,La teoria del tragico nel Giraldi (con incursioni nell’epico),Rosa Giulio,"Il mito, il sacro, la storia nella tragedia e nella riflessione teorica sul tragico, Atti del convegno di studi: Università di Salerno, 15-16 novembre 2012",,,Napoli,Liguori,2013,169-185,https://www.academia.edu/4931641/La_teoria_del_tragico_nel_Giraldi
Bibliografia,Articolo in rivista,Maria Maslanka-Soro,,"Il mito di Eolo e il problema del tragico nella tragedia ""Canace"" di Sperone Speroni",,,Rivista di letteratura italiana,N. 3,,,2010,35-44,
Bibliografia,Articolo in rivista,Laura Riccò,,Il teatro 'secondo le correnti occasioni',,,Studi italiani,N. 2 ,,,2005,5-39,
Bibliografia,Monografia,Corinne Lucas Fiorato,,"De l'horreur au ""lieto fine"". Le contrôle du discours tragique dans le théâtre de Giovan Battista Giraldi Cinzio",,,,,Roma,Bonacci,1984,,
Bibliografia,Monografia,Philip R. Horne,,The tragedies of Giambattista Cinthio,,,,,Oxford,University press,1962,,
Bibliografia,Monografia,Camillo Guerrieri Crocetti,,Giovan Battista Giraldi ed il pensiero critico del sec. XVI,,,,,Milano-Genova-Roma-Napoli,SAE. Dante Alighieri,1932,,
