type,subType,author,addressee,title,"editorList
",titleVolume,journal,partANDvol,place,"publisher
",date,pages,link
Fonte,letteraria,Nicolaus Cusanus,,, G. Kallen, De concordantia catholica,,III,Lipsia,Meiner,1959,28-11,http://www.cusanus-portal.de/
Fonte,letteraria,Theodorus Balsamon,,Constitutum Constantini (Testo del Commento al Nomocanone di Fozio),G.A. Rhalles – M. Potles,"Σύνταγμα τῶν θείων καὶ ἰερών κανόνων τῶν τε ἀγίων καὶ πανευφήμων Αποστόλων, καὶ τῶν ἰερών καὶ οἰκουμενικών καὶ τοπικών Συνόδων, καὶ τῶν κατά μέρος ἀγίων Πατέρων, ἐκδοθέν, σὺν πλείσταις ἄλλαις τὴν ἐκκλησιαστικὴν κατάστασιν διεπούσαις διατάξεσι, μετά τῶν ἀρχαίων ἐξηγητών, καὶ διαφόρων ἀναγνωσμάτων",,I,Atene,Γ. Καρτοφύλακος,1852,145-148,https://archive.org/stream/syntagmatnthenk00potlgoog#page/n175/mode/2up
Fonte,letteraria,,,,H. Fuhrmann,Das Constitutum Constantini,,,Hannover,Hahn,1968,,http://www.dmgh.de/de/fs1/object/display/bsb00000665_meta:titlePage.html?sort=score&order=desc&divisionTitle_str=&hl=false&fulltext=das+constitutum&sortIndex=020:080:0010:010:00:00&context=das%20constitutum
Fonte,letteraria,Augustinus Steuchus,,,,Pro religione christiana adversus Lutheranos,,,Bononiae,Ioannes Baptista Phaellus Bononiensis impressit,1530,,https://archive.org/stream/bub_gb_jelceHquFJkC#page/n0/mode/2up
Fonte,letteraria,Augustinus Steuchus,,,,Contra Laurentium Vallam De falsa donatione Constantini libri duo,,,Lugduni,Sebastianum Gryphium,1547,,https://archive.org/stream/ita-bnc-mag-00002270-001#page/n12/mode/2up
Fonte,letteraria,Joannes Calvinus,,,,Institutio Christianae Religionis,,,Genevae,Oliva Roberti Stephani,1559,450,http://www.e-rara.ch/gep_g/content/pageview/894524
Fonte,letteraria,Franciscus Hotomannus,,,, Brutum Fulmen Papae Sixti V,,, Romae,,1585,151,https://books.google.it/books?id=yTc8AAAAcAAJ&printsec=frontcover&dq=Brutum+Fulmen+Papae+Sixti+V&hl=it&sa=X&ved=0ahUKEwiTi-fKnYvWAhWpD8AKHXZUDVEQ6AEIJzAA#v=onepage&q=Brutum%20Fulmen%20Papae%20Sixti%20V&f=false
Fonte,letteraria,Matthias Flaccius Illyricus,,,,Catalogus Testium Veritatis qui ante nostram aetatem Pontifici Romano atque Papismi erroribus reclamarunt: tomus secundus,,, Lugduni, Antonii Candidi,1597,252,https://books.google.it/books?id=rwwxTzgHmHwC&pg=PP9&dq=Catalogus+Testium+Veritatis+qui+ante+nostram+aetatem+Pontifici+Romano+atque+Papismi+erroribus+reclamarunt:+tomus+secundus&hl=it&sa=X&ved=0ahUKEwjPvc3BoIvWAhWIAsAKHe7ODNwQ6AEILTAB#v=onepage&q=Catalogus%20Testium%20Veritatis%20qui%20ante%20nostram%20aetatem%20Pontifici%20Romano%20atque%20Papismi%20erroribus%20reclamarunt%3A%20tomus%20secundus&f=false
Bibliografia,Monografia,P. e F. Andreoli Giordani,,,,Biografia di Mons. Agostino STEUCO Canonico Regolare – Vescovo di Kisamo e Bibliotecario della Vaticana,,,Orvieto,,1879,,
Fonte,epistolare,Cervini-Sirleto,,,G. Buschbell,Concilium Tridentinum: Epistularum pars prima: Complectens epistulas a die 5 Martii 1545 ad Concilii translationem 11 Martii 1547 scriptas,,,Roma,"Herder
",1916,,
Bibliografia,Articolo in rivista,E. Petrucci,,I rapporti tra le redazioni latine e greche del Costituto di Costantino  ,,,Bullettino dell’Istituti Storico Italiano per il Medio Evo e Archivio Muratoriano,74, Roma,,1962,45-160,
Bibliografia,Capitolo di libro,M. T. Graziosi,,"Agostino Steuco e il suo ""Antivalla""",,L'Umanesimo umbro. Atti del nono convegno di studi umbri,,,Gubbio,Centro di Studi Umbri,1974, 511-523,
