type,subType,author,addressee,title,"editorList
",titleVolume,journal,partANDvol,place,"publisher
",date,pages,link
Monografia,,Pietro Aretino ,,Lettere,,,,,Venezia,Giolito,1538,https://books.google.it/books?id=Lg1EAAAAcAAJ&printsec=frontcover&hl=it&source=gbs_ge_summary_r&cad=0#v=onepage&q&f=false,
Monografia,,Antonio Minturno ,,Lettere,,,,,Venezia,Vavassori,1549,https://books.google.it/books?id=0M0h6s6NYHYC&printsec=frontcover&dq=lettere+minturno&hl=it&sa=X&ved=0ahUKEwi_yOWhvcTaAhUhJJoKHYFzDoYQ6AEIJzAA#v=onepage&q=lettere%20minturno&f=false,
Monografia,,Ludovico Dolce,,Lettere ,,,,,Venezia,Giolito,1552,,
Monografia,,Luigi Attanagi,,Lettere di XIII uomini illustri,,,,,Venezia,Giolito,1554,https://books.google.it/books?id=9rRdAAAAcAAJ&printsec=frontcover&dq=atanagi+lettere+huomini+illustri+1554&hl=it&sa=X&ved=0ahUKEwiT5cnQvcTaAhWyyaYKHQAzCUUQ6AEIJzAA#v=onepage&q=atanagi%20lettere%20huomini%20illustri%201554&f=false,
Monografia,,Antonio Manuzio - Paolo Manuzio,,Lettere Volgari,,,,,Venezia,Giolito,1560,https://books.google.it/books?id=iv47AAAAcAAJ&pg=RA1-PA48-IA1&dq=manuzio+lettere+volgari&hl=it&sa=X&ved=0ahUKEwis85fdvcTaAhXCCpoKHeA8CSIQ6AEIJzAA#v=onepage&q=manuzio%20lettere%20volgari&f=false,
antologia,,Girolamo Muzio,,"Lettere del Mutio Iustinopolitano,",,,,,Venezia,Giolito,1551,https://books.google.it/books?id=4n338ZNMiDIC&printsec=frontcover&dq=girolamo+muzio+lettere&hl=it&sa=X&ved=0ahUKEwjM-KSAvsTaAhXEJZoKHcp4B6gQ6AEINDAC#v=onepage&q=girolamo%20muzio%20lettere&f=false,
Monografia,articolo rivista,Fubini Renato,,La coscienza del latino negli umanisti: “An latina lingua Romanorum esset peculiar idioma”,,,Studi Medievali,"II, 2, pp. 505-550",Spoleto,Fondazione CISAM,1962,,
Monografia,articolo rivista,Mirko Tavoni,,"The 15th–Century Controversy on the Language Spoken by the Ancient Romans: An Inquiry into Italian Humanist Concepts of “Latin”, “Grammar”, and “Vernacular”",,,Historiographia linguistica,"9, pp. 237–264
",,John Benjamins Publishing Company,1982,,
Monografia,edizione critica,Flavio Biondo,,De verbis Romanae locutionis Blondi ad Leonardum Aretinum,Mirko Tavoni,"Latino, grammatica, volgare: Storia di una questione umanistica",,,Padova,Antenore,1984,,
Monografia,edizione critica,Leonardo Bruni,,Leonardus Flavio Forolivensi S. Quaerit an vulgus et literati eodem modo per Terentii Tullique tempora Romae locuti sint.,Mirko Tavoni,"Latino, grammatica, volgare: Storia di una questione umanistica",,,Padova,Antenore,1984,,
Monografia,voce bibliografica,Claudio Marazzini,,La speculazione linguistica nella tradizione italiana: Le teorie,,,"Storia della lingua italiana, I. I luoghi della codificazione, a cura di L. Serianni e P. Trifone
",pp. 231-239,Torino,Einaudi,1993,,
monografia,edizione critica,Girolamo Muzio,,Lettere,"Anna Maria Negri,",,,,Alessandria,Edizioni dell’Orso,2000,,
Monografia,saggio,Marchiò Bianco Mario,,Come discutevano gli umanisti: Una disputa quattrocentesca sulla lingua parlata dai romani antichi,,,,,Firenze,Atheneum,2008,,
monografia,edizione critica,Flavio Biondo,,De verbis Romanae locutionis,Fulvio Delle Donne ,,,,Roma,Istituto di Storia per il Medioevo,2008,www.isime.it/redazione08/delledonne09.pdf,
Monografia,,Ludovica Braida,,Libri di lettere: le raccolte epistolari del Cinquecento,,,,,Roma-Bari,Laterza,2009,,
monografia,articolo rivista,Delle Donne Fulvio,,"latinità e barbarie nel “De Verbis” di Biondo: alle origini del sogno di una nuova Roma, in Progetti di ricerca della Scuola storica nazionale, IV settimana degli studi medievali, Roma, 28-30 maggio 2009, ed. elettronica a cura di I. Bonincontro, pp. 61-78, al sito www.isime.it/redazione08/delledonne09.pdf",,,,,Roma,,2009,,
Monografia,,Gennaro Tallini,,Il volgare Modo. epistolografia ,,,,,Verona,QuiEdit,2014,,
Monografia,edizione critica,"Flavio Biondo, Leonardo Bruni",,"Il latino e il “volgare” nell’antica Roma: Biondo Flavio, Leonardo Bruni e la disputa umanistica sulla lingua degli antichi Romani","Giuseppe Marcellino, Giulia Ammannati",,,,Pisa  ,Edizioni della Normale,2015,,
Monografia,articolo rivista,Roger Schöntag,,Il dibattito intorno al volgare antico tra Leonardo Bruni e Flavio Biondo sullo sfondo della cognizione linguistica di Dante,,,"Forum Italicum, a Journal of Italian Studies","51, 3, pp. 553-572",New York,Stoney Brook University,2017,,
Monografia,voce di dizionario,Gennaro Tallini ,,Ludovico Dolce,Margaret King edt,,Oxford Bibliographies - Renaissance and Reformation,,Oxford,Oxford University Press,2018,,
Monografia,,Claudio Tolomei,,Lettere,,,,,Venezia ,Giolito,1547,,
Monografia,edizione critica,Antonio Minturno ,,lettere,Gennaro Tallini,,,,Roma,Stamen,2018 in c.d.s.,,
monografia,,Di Filippo Bareggi Claudia,,Con ogni diligenza corretto,,,,,,,,,
